bin,count,mean_confidence,accuracy,abs_gap
1,0,,,
2,9,0.18,0.3333333333333333,0.15333333333333332
3,28929,0.28140965812852153,0.3246223512738083,0.04321269314528675
4,80873,0.3536062715615842,0.3796817231956277,0.02607545163404351
5,142767,0.4413934592728011,0.44798167643783227,0.006588217165031163
6,179186,0.5501837197102453,0.5629290234728159,0.012745303762570659
7,160752,0.6611555688265155,0.6906103812083209,0.029454812381805362
8,152357,0.750879841425074,0.7801282514095185,0.029248409984444446
9,200562,0.8401883706783938,0.839710413737398,0.0004779569409958384
10,225076,0.9464717695356236,0.8979011533881889,0.04857061614743474
