,pred_30000,pred_65000,pred_65030,pred_70000,pred_70032,pred_74000,pred_80000,pred_86000,pred_88000,pred_90000,pred_93000,pred_99000
actual_30000,23907,11318,2139,372,0,0,37,75,0,19,0,207
actual_65000,2537,130044,6373,157,0,0,5479,0,0,566,0,46
actual_65030,2842,13922,2494,56,0,0,236,0,0,7,0,8
actual_70000,1317,1853,282,7126,26,0,341,0,0,7,0,6
actual_70032,2344,54,9,270,25,0,0,18,0,0,0,0
actual_74000,45,166,24,16,0,0,4,6,0,0,0,4
actual_80000,486,4614,839,1106,2,0,1340,0,0,0,0,0
actual_86000,20,8,0,0,0,0,0,271,0,0,0,0
actual_88000,2,3785,9,162,0,0,0,3,333,0,0,0
actual_90000,222,209,7,0,0,0,0,0,0,435,0,0
actual_93000,0,0,0,0,0,0,0,0,0,0,0,0
actual_99000,433,1641,120,17,0,0,0,0,0,0,0,90
